,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
156609,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,EMPLOYEE BENEFITS,UNASSIGNED PERS/PAID LEAVES,GENERAL FUND,Principal,,,,PERSONNEL-PAID LEAVE,,NON-PROJECT,,ADMINISTRATOR,,STAFF SERVICES,,CENTRAL
75964,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,ESE SCHOOL SPECIALIST         ,,,,ESE                           ,,INST STAFF TRAINING SVCS      ,,,382.72,,FED THRU STATE-CASH ADVANCE   ,IDEA  PART B                  
172213,Teacher Compensation,Instruction,School Reported,School,ELL,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,ESL/BILINGUAL EDUCATION,LOCAL,Teacher,,,,,1.0,,,,64644.641645200005,,,
348071,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Case Partnership Project,"TEACHER, BILINGUAL EDUCATION",,Undistributed,Extended Day,School ,,Social Work Services,Instruction And Curriculum,TEACHER BACHELOR,78.7141802938,Undistributed,Title Iv Part B  Century Community Learning Ce,EXTENDED DAYS
446304,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Secondary (High) ",,,,,,NON-PROJECT,,UNDESIGNATED,-63.11,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
66302,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Secondary (High) ",Alternative,,,,1.0041406061700002,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,52414.4643329,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
325427,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Non-Certificated Salaries,,Support Services - Instructional Staff,,,,Non-Certificated Salaries And Wages,,,Other Improvements of Instruction Services *,,,-1062.56,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I CARRYOVER
49981,Food Services,O&M,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Food Service Worker II ,,,,,,NON-PROJECT,,UNDESIGNATED,-15.02,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
29225,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Custodians,,,CUSTODIAN,,Operation of Plant,,,0.952253355058,,,CUSTODIAN,26639.9873784,Operations,General Purpose School,
355235,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Secondary (High) ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,698.86,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
281376,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Turnaround,,,,0.00431034482759,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,129.54498492500002,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
111770,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PURCHASED SERVICES,,LEARN AND SERVE AMERICA,,,,,,,INSTRUCTION,,,327.16,"REGULAR SCHOOL BASED PROJECT, LEARN AND SERVE AMERICA",Learn And Serve America,
214157,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Inter Relatated Resource,,,,,1.0,,,INTERRELATED ,47732.07,SPECIAL EDUCATION CATEGORY III,General Fund,
341782,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Super Sub Rtd D/D ",,,,,,NON-PROJECT,,UNDESIGNATED,-28.25,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
29389,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",,,,,,NON-PROJECT,,UNDESIGNATED,-463.01,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
269605,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,TEACHER COVERAGE FOR TEACHER,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,19.175120000000003,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
381109,Substitute Compensation,Instruction,School Reported,School,Unspecified,Teacher,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,TEACHER BACHELOR,152.631019917,Basic Educational Services,General Operating Fund,REGULAR PAY
370555,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,,,,,All Sports,Incentives (Perishable Supply),Undistributed,,Extracurricular Activities,Athletic Department,,3693.59,Athletics And Related Activities,General Operating Fund,
295692,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,CLASSROOM TEACHER             ,,,"TEACHER, SOC STUDIES-MIDDLE   ",,,,School ,1.0,BASIC (FEFP K-12)             ,,,49676.6010867,,GENERAL FUND                  ,
440127,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,CERTIFIED SUBSTITUTE,1945.23769157,Basic Educational Services,General Operating Fund,REGULAR PAY
444226,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, SPECIAL EDUCATION",,,Salaries And Wages For Teachers And Other Professi,School ,0.88,Instruction,All Campus Payroll,TEACHER BACHELOR,66465.1826766,Services To Students With Disabilities (Special Education),General Operating Fund,REGULAR PAY
151100,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,First Class,,,0.0,,,TIME CARD CERTIFIEDAddl,272.22,Support - Regular Instruction,School Projects,First Class
362664,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Turnaround,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,7.53,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
311377,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other General Supplies,,Community Services,,,,General Supplies *,,,Non-Public School Services *,,,0.11,,Title I - Disadvantaged Children/Targeted Assistance,ARRA-TITLE I A 
218748,Substitute Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Super Sub D/D ",,,,ALL SCHOOLS-UNDISTRIBUTED,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,105.9696,OTHER GENERAL EDUCATION,,REGULAR INSTRUCTION
404261,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,POST SECONDARY READINESS,GENERAL FUND,"Supt, Instructional ",,,,HS TEAM ,0.0821384268791,NON-PROJECT,,ADMINISTRATOR,10515.440322700002,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
318130,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,7.45,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
444947,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Teacher Secondary (Middle) ,,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,525.34,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
290921,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Special Education Instruction,,,0.0,,,SUBSTITUTE TEACHER,1203.7899,Instruction - SPED,General Purpose School,
408564,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,10.49,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
65978,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TRANSPORTATION,GENERAL FUND,Bus Driver Less than  Yr ,,,,,0.130102040816,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",4183.57251745,TRANSPORTATION-OPERATIONS,,STUDENT TRANSPORTATION
325090,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,Client Technlgies Analyst ,,,,CUSTOMER RELATIONS MANAGEMENT,,NON-PROJECT,,PROFESSIONAL-OTHER,461.76,INFORMATION SYSTEMS SERVICES,,CENTRAL
216699,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,TARGETED INTERVENTIONS,,PROFESSIONAL-INSTRUCTIONAL,210.43912000000003,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
6545,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,General Assignment ,Regular,,,,,STATE ELPA (ENG LANG PROF ACT),,PARAPROFESSIONAL,3309.43,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
260700,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,General Assignment ,Regular,,,,,NON-PROJECT,,PARAPROFESSIONAL,18.86,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
436669,School Supervision,Leadership,Leadership & Management,Non-School,ELL,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,STATE AND LOCAL GDPG FUND,"Specialist, Instructional ",,,,ES TEAM ,,STATE ELPA (ENG LANG PROF ACT),,PROFESSIONAL-OTHER,346.31,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
304019,Extended Time & Tutoring,Instruction,School Reported,School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,"TEACHER, MATH-MIDDLE          ",,,,School ,,EXCEPTIONAL                   ,,,507.67,,FED THRU STATE-CASH ADVANCE   ,IDEA  PART B                  
200668,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Secondary (High) ",,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,641.14,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
383119,Physical Health & Services,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,SCHOOL NURSE SERVICES,GENERAL FUND,Office Support II ,,,,SCHOOL NURSE SERVICES,0.495139968896,NON-PROJECT,,OFFICE/ADMINISTRATIVE SUPPORT,20983.2872622,NURSING SERVICES,,STUDENTS
19635,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,EDUCATIONAL ASSISTANT (CERA),,Regular Instruction,,,1.0,,,EDUC ASST  - ELEM,24189.0761908,Instruction - Regular,General Purpose School,
428220,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER CERTIFIED               ,,,COUNSELOR-MIDDLE              ,,,,School ,0.47,GUIDANCE SERVICES             ,,,28635.5916108,,GENERAL FUND                  ,
86934,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,EQUIPMENT *,,Community Services,,,,Equipment *,,,Non-Public School Services *,,,-1345.8,,Title I - Disadvantaged Children/Targeted Assistance,ITEMABED-NONPUBLIC/ID 
108643,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,SALARIES OF PART TIME EMPLOYEE,,BUILDING FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,0.00431034482759,ED TECH  GOB,,PROFESSIONAL-INSTRUCTIONAL,130.254984925,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
214210,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED  EQUIP        ,,,,,,,School ,,BASIC (FEFP K-12)             ,,,809.52,,GENERAL FUND                  ,VOCATIONAL EQUIPMENT          
162396,Substitute Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",,,,DISTRICT WIDE ORGANIZATION UNI,,NON-PROJECT,,UNDESIGNATED,296.86,UNDESIGNATED,,UNDESIGNATED
111550,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Teacher Secondary (Middle) ,,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,797.64,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
190675,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Spec Ed Asst, Mild/Moderate ",,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,170.13,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
427773,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,SUPPLIES & MATERIALS,,,,Printers for teachers and therapists,Capital Supplies ( Unit Cost  and > ,School ,,Instruction,Instruction And Curriculum,,681.19,Services To Students With Disabilities (Special Education),Idea Part B Formula,
358766,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",OTHER SUPPORT PERSONNEL       ,,,,,,,CURRICULUM AND INSTR          ,,PUPIL TRANSPORTATION SERVICES ,,,513.94,CHARTER,GENERAL FUND                  ,VPK                           
176403,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,,Special Instruction,,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,-50512.09,,Title I - Disadvantaged Children/Targeted Assistance,PUBLIC SALARY DIFFERENTIA
